  time         acel
4900.00   0.93290002
4904.00   0.93730000
4906.00   0.93179995
4908.00   0.94169997
4910.01   0.93620003
4912.01   0.93730000
4918.01   0.93399999
4920.01   0.93950003
4922.01   0.93399999
4924.01   0.93730000
4934.02   0.93730000
4936.02   0.94169997
4938.02   0.93620003
4940.02   0.94060000
4942.02   0.93620003
4945.77   0.94169997
4947.68   0.94060000
4951.49   0.93730000
4953.13   0.93399999
4955.14   0.93730000
4957.14   0.93179995
4959.14   0.93620003
4963.14   0.93509996
4967.14   0.93839996
4969.14   0.93620003
4979.15   0.93290002
4981.15   0.92739998
4983.15   0.92960002
4987.15   0.92960002
4991.15   0.93069998
4997.16   0.93399999
5000.73   0.93069998
5004.19   0.92850005
5005.98   0.92960002
5007.76   0.92850005
5011.69   0.93069998
5013.27   0.92739998
5014.93   0.93069998
5023.52   0.93069998
5026.98   0.93290002
5028.96   0.93069998
5032.62   0.92850005
5036.37   0.93069998
5041.77   0.93509996
5043.47   0.93069998
5051.80   0.92960002
5055.52   0.92630001
5059.06   0.93290002
5064.95   0.93179995
5066.90   0.93399999
5068.86   0.93290002
5072.71   0.95489999
5076.56   0.73380002
5078.56   1.11110002
5080.53   0.79650003
5082.49   1.09790000
5084.25   0.77560003
5086.03   1.01760000
5088.03   0.90870001
5089.70   1.11770003
5091.69   0.79869996
5093.67   1.07369999
5095.50   0.80529998
5097.32   1.08469997
5099.18   0.78000000
5101.18   1.03519999
5103.04   0.79980003
5104.93   1.05059995
5106.86   0.81959997
5108.78   1.05609999
5110.69   0.77449996
5112.68   1.01980003
5114.55   0.93950003
5116.49   0.94060000
5120.34   0.85590003
5122.16   1.06820005
5124.10   0.79209995
5125.91   1.09790000
5127.90   0.76130004
5129.84   1.07699999
5131.58   0.78769998
5133.49   1.12430004
5135.20   0.79099998
5137.10   1.07809996
5138.94   0.80859998
5140.74   1.06490004
5142.52   0.84270000
5144.52   1.07920003
5146.31   0.84600001
5148.20   0.92300001
5153.35   0.92630001
5157.33   0.92739998
5162.90   0.92850005
5166.83   0.92739998
5170.40   0.92739998
5172.19   0.92850005
5174.16   0.92739998
5175.80   0.93290002
5181.24   0.57320002
5183.03   1.15950003
5184.64   0.75029995
5186.55   0.99890003
5189.57   0.89329995
5192.06   0.94390001
5193.84   0.73380002
5195.37   0.90430004
5204.21   1.09239995
5215.33   0.68540001
5219.06   0.77449996
5221.03   0.96150000
5222.84   0.58750001
5224.68   1.01980003
5230.40   0.76679998
5232.16   0.84600001
5239.21   0.94499997
5242.20   0.92409997
5244.09   0.78660001
5245.14   1.07590003
5246.53   0.79539996
5248.16   0.99230002
5250.16   0.69309999
5252.16   1.00109997
5254.17   0.95380002
5256.17   1.01099998
5258.17   0.97029995
5261.32   1.20460004
5263.32   0.93399999
5267.33   1.02750001
5269.33   0.91309999
5273.33   1.08139997
5275.33   0.82180000
5277.33   0.93950003
5279.33   0.87569996
5281.60   0.87239995
5285.60   0.86799998
5288.76   1.04619998
5288.88   0.81850000
5290.88   1.09569996
5292.88   0.75579999
5294.88   1.22220004
5296.88   0.80859998
5302.50   1.00439997
5303.97   0.92409997
5305.97   1.03959997
5307.63   0.95710003
5311.64   1.00990002
5315.64   0.81959997
5317.64   0.96259997
5323.64   0.87899996
5331.65   0.75029995
5335.65   0.84930002
5337.60   1.09350002
5339.59   1.00220004
5341.41   1.07149995
5345.29   0.97800003
5347.27   1.09459999
5351.21   1.13749996
5353.07   1.44880005
5357.06   1.21779996
5369.50   0.54790005
5381.09   0.91639999
5387.09   0.96810001
5395.10   1.12649998
5401.10   0.86139997
5405.10   0.85809996
5406.90   0.87790000
5410.33   0.89989997
5417.34   0.83389996
5418.07   0.74370004
5420.51   0.78439997
5429.59   0.89440002
5431.52   0.97029995
5433.41   0.91860003
5441.12   0.76130004
5448.50   0.93290002
5452.51   0.98460004
5454.51   0.96700005
5464.51   0.89440002
5465.93   0.87569996
5469.94   0.83389996
5477.94   0.78220004
5481.70   1.33770003
5482.77   0.55779996
5484.44   0.99119995
5484.90   0.83940000
5488.90   0.87020002
5494.90   1.18150000
5497.57   2.21000005
5503.31   2.07689996
5509.31   2.13080002
5511.31   1.78319997
5515.18   2.03730000
5516.89   0.77779996
5520.55   1.06600001
5522.05   0.88120000
5525.53   1.24529998
5529.27   1.00330001
5536.80   0.65790000
5545.01   0.82180000
5546.43   0.83830003
5548.39   0.63149995
5548.78   0.74919998
5554.65   0.93839996
5559.48   0.89110002
5560.76   0.84820005
5562.20   0.87350002
5564.17   0.86030000
5565.50   0.89989997
5568.73   0.87790000
5572.04   0.88780001
5574.04   0.87790000
5576.04   1.06820005
5580.04   0.79760000
5581.96   2.00210000
5588.18   2.98439997
5592.18   3.94250004
5596.05   3.30780001
5599.72   3.85119995
5603.46   3.64550004
5609.43   1.06820005
5611.43   0.67549999
5613.43   0.82510001
5615.43   0.73269995
5617.43   0.91309999
5621.44   0.92630001
5623.44   0.97359996
5625.44   0.88229997
5629.44   1.05830003
5631.44   0.94940005
5633.44   0.96480001
5639.32   0.99449996
5647.33   1.61929996
5651.61   2.23200002
5653.61   3.07680003
5657.62   3.43980003
5666.13   2.86340004
5668.13   0.79760000
5670.41   2.09890003
5672.41   0.89110002
5678.29   0.71399999
5682.14   0.64360001
5683.73   0.70079997
5695.85   0.99560003
5697.85   1.01760000
5699.85   0.79760000
5703.86   0.78990002
5709.22   0.95820000
5711.15   3.12079997
5714.08   3.34079997
5723.86   0.80420001
5730.66   0.95269995
5732.66   1.06930002
5734.66   0.89219999
5738.67   0.83940000
5742.67   0.83830003
5746.30   1.98780001
5748.93   2.25950003
5750.83   3.01410002
5756.83   3.70930002
5758.83   3.95239995
5762.81   3.85669999
5770.43   1.96250004
5772.31   0.83830003
5776.26   0.82510001
5779.07   0.90760005
5781.07   0.92630001
5783.07   0.86469997
5787.07   1.19470002
5797.08   3.80720001
5803.08   1.60280004
5807.08   0.80420001
5808.88   0.86799998
5812.39   1.03740003
5813.79   1.10229997
5815.47   0.77890003
5818.68   0.92300001
5821.85   0.93290002
5822.28   0.93399999
5824.28   0.91749996
5824.56   0.93509996
5830.57   1.00990002
5836.57   0.97470002
5839.89   0.85479996
5842.82   0.87680003
5844.23   0.86580004
5846.01   0.89110002
5848.38   0.87899996
5849.81   0.91419996
5851.22   0.88780001
5853.03   0.90430004
5858.56   0.86250004
5860.30   0.86910005
5861.59   0.81850000
5862.83   0.94060000
5863.94   0.83279999
5866.58   0.86360001
5872.06   0.90319997
5872.10   0.99339999
5876.10   0.94169997
5880.10   0.86139997
5887.97   1.01429999
5890.92   0.95929996
5904.02   1.32340004
5905.48   1.52469997
5906.89   1.40370004
5914.61   1.14850005
5916.61   1.03959997
5918.61   1.08580004
5920.61   0.92300001
5924.61   0.81410002
5936.62   1.17929996
5940.62   1.08910005
5950.63   1.18480001
5954.63   1.09239995
5956.63   1.08690001
5958.63   1.10450001
5960.63   0.99119995
5965.53   0.77449996
5974.95   1.36630001
5982.95   1.15290002
5984.95   1.15069998
5990.95   1.12760005
5992.51   1.09459999
5994.06   1.27389996
5998.85   1.17050002
6001.37   1.24859998
6004.76   1.26070004
6010.80   1.35530003
6014.80   1.30910005
6016.80   1.31239995
6021.84   1.28270000
6025.19   1.41910000
6025.43   1.10120000
6029.43   1.03080002
6039.43   1.19579999
6043.44   1.20240000
6049.03   1.21560003
6050.76   1.28049997
6054.05   1.22220004
6060.05   1.10559998
6063.97   1.11440002
6072.77   0.91970000
6076.44   0.89549999
6080.44   0.91970000
6088.45   0.94940005
6090.45   0.98240000
6094.45   1.00220004
6096.45   1.15839996
6100.45   1.20570001
6102.46   1.22660001
6108.46   1.30469997
6112.46   1.28820005
6114.46   1.19359996
6121.58   1.04070004
6125.37   0.96589998
6130.62   1.03959997
6137.96   1.03629996
6140.20   1.20240000
6146.20   1.13749996
6148.20   1.14079997
6153.91   1.21890003
6155.79   1.22880005
6157.74   1.20460004
6167.01   0.97470002
6170.26   1.01320002
6171.42   1.07369999
6181.42   1.27500003
6189.43   1.12430004
6193.43   1.14850005
6195.43   1.17489999
6197.43   1.17380002
6199.43   1.17929996
6207.43   1.33000005
6210.81   1.21449996
6212.74   1.18810001
6220.69   1.11110002
6222.66   1.10229997
6224.43   1.11549999
6232.91   1.04730005
6238.91   0.90760005
6240.91   0.79760000
6244.91   0.77669999
6248.91   0.90979998
6252.92   0.93950003
6254.92   0.88229997
6256.10   0.97140002
6258.97   0.86030000
6260.45   0.89659996
6262.45   0.88889998
6264.40   0.90210000
6266.19   0.87459999
6267.98   0.93069998
6269.89   0.84600001
6271.86   1.32120000
6273.85   0.90319997
6275.72   1.23099998
6278.56   1.16280004
6282.13   1.12979998
6284.11   1.01539996
6287.56   1.26730005
6291.32   1.24750001
6291.51   1.26949998
6293.51   1.23099998
6303.51   0.97249999
6305.51   0.95599996
6307.52   1.12870001
6312.40   1.27940000
6320.33   1.00660001
6327.46   1.25740003
6331.43   1.22220004
6333.32   1.14079997
6337.29   1.14960002
6339.23   1.11880000
6343.53   0.99779996
6347.49   0.98349997
6351.44   0.91530003
6357.59   1.24310004
6359.58   1.29590003
6361.56   1.20460004
6371.40   0.97910000
6377.41   1.00660001
6379.26   1.26730005
6387.20   1.45980003
6389.14   1.64900002
6390.99   1.61159999
6396.18   1.09459999
6400.18   0.93839996
6404.14   0.93620003
6413.62   1.37730000
6422.56   1.27719996
6426.50   1.41800003
6432.12   1.18919998
6434.52   1.27940000
6440.49   1.20570001
6442.49   1.20019997
6444.47   1.20130004
6447.27   1.23099998
6453.21   1.12100004
6459.14   1.30360001
6461.09   1.52250004
6466.44   1.63910000
6473.20   1.55219999
6478.56   1.74690001
6480.55   4.31650003
6481.10   3.83689996
6483.10   4.21860003
6485.08   3.74670005
6487.08   3.97110002
6489.03   0.96040003
6490.85   3.47170002
6492.84   3.07790000
6494.79   3.42439997
6496.63   2.77539996
6498.62   3.24180000
6500.59   0.52370004
6501.34   2.95470002
6503.34   2.39149995
6505.32   3.30889998
6507.26   2.37719996
6509.24   3.11530003
6511.20   1.21890003
6520.29   0.50169997
6528.14   1.19029995
6530.13   1.23760000
6532.06   1.02640004
6537.23   0.86469997
6538.98   0.81959997
6540.98   1.39929996
6544.94   1.15509996
6546.90   1.55880000
6550.81   1.45980003
6552.77   2.18910005
6558.52   0.95710003
6560.42   1.27279999
6562.31   0.98570001
6566.35   0.92739998
6572.17   0.90319997
6576.10   0.90979998
6578.04   0.71290002
6579.85   0.75249999
6586.38   0.92739998
6591.83   0.85369999
6593.29   0.72060000
6596.46   1.19910000
6603.51   3.30340004
6605.51   3.61140002
6607.51   3.30889998
6615.32   0.85809996
6620.32   2.23089995
6624.32   2.94810001
6628.14   1.22990002
6630.32   1.63470002
6632.32   1.03080002
6634.31   1.34210000
6636.23   0.90319997
6641.78   0.84600001
6643.77   0.69309999
6647.69   0.88229997
6652.05   0.92850005
6659.84   0.79539996
6663.11  -0.27380002
6665.85   0.39830003
6669.60   0.10460004
6671.42   2.55760000
6676.61   1.05719996
6680.05   1.03080002
6681.66   0.59080002
6683.54   1.16829998
6685.44   0.99009998
6687.39   1.24970005
6691.16   0.62709998
6691.75   2.39920003
6695.73   0.46760005
6697.68   1.81950003
6699.62   0.74259997
6701.51   0.74700005
6703.40   0.68649998
6705.34   1.00990002
6710.89   0.98460004
6712.89   1.28820005
6714.82   1.00000000
6716.79   1.47850000
6720.77   1.00990002
6722.57   2.73029995
6725.08   2.93050002
6727.00   3.22970005
6728.99   2.40030000
6730.99   2.89200002
6732.99   2.60820005
6736.61   2.78090000
6740.61   1.96250004
6746.57   1.13749996
6748.57   0.88559998
6750.56   3.30670005
6754.08   1.93609999
6760.03   1.62259997
6762.03   0.53910000
6764.03   3.11530003
6769.32   3.67959997
6771.32   4.07009998
6773.16   2.44210000
6784.53   1.04730005
6786.53   0.75800003
6788.48   2.11539996
6792.36   1.34760005
6794.21   2.31560003
6796.21   2.04829998
6797.94   4.57719996
6801.88   0.09910000
6804.91   1.57970000
6808.91   0.87020002
6810.91   2.62250004
6813.03   2.56529998
